iter	Passed	Remaining
1201	20478	13595
1202	20493	13577
1203	20506	13557
1204	20520	13538
1205	20533	13518
1206	20547	13499
1207	20562	13481
1208	20575	13461
1209	20590	13443
1210	20603	13423
1211	20616	13404
1212	20630	13385
1213	20644	13366
1214	20658	13347
1215	20672	13328
1216	20685	13308
1217	20699	13289
1218	20712	13270
1219	20726	13251
1220	20739	13232
1221	20754	13213
1222	20768	13194
1223	20782	13175
1224	20796	13157
1225	20810	13137
1226	20824	13119
1227	20838	13100
1228	20851	13081
1229	20866	13063
1230	20881	13044
1231	20895	13025
1232	20909	13006
1233	20923	12988
1234	20937	12969
1235	20951	12950
1236	20965	12931
1237	20979	12912
1238	20993	12894
1239	21007	12875
1240	21021	12856
1241	21035	12838
1242	21049	12819
1243	21063	12800
1244	21077	12781
1245	21090	12762
1246	21104	12743
1247	21118	12725
1248	21132	12706
1249	21147	12688
1250	21160	12669
1251	21174	12650
1252	21189	12632
1253	21203	12613
1254	21217	12595
1255	21230	12575
1256	21243	12556
1257	21256	12537
1258	21271	12519
1259	21285	12500
1260	21299	12482
1261	21312	12463
1262	21326	12444
1263	21340	12425
1264	21354	12407
1265	21368	12388
1266	21381	12369
1267	21394	12350
1268	21409	12332
1269	21422	12313
1270	21437	12295
1271	21450	12276
1272	21464	12258
1273	21478	12239
1274	21492	12221
1275	21506	12202
1276	21520	12184
1277	21533	12165
1278	21547	12146
1279	21560	12127
1280	21575	12110
1281	21589	12091
1282	21603	12072
1283	21617	12054
1284	21630	12035
1285	21644	12017
1286	21658	11999
1287	21671	11979
1288	21685	11961
1289	21699	11942
1290	21713	11924
1291	21727	11906
1292	21740	11887
1293	21753	11868
1294	21766	11849
1295	21782	11832
1296	21796	11814
1297	21811	11796
1298	21825	11777
1299	21839	11759
1300	21853	11741
1301	21867	11722
1302	21881	11704
1303	21894	11685
1304	21907	11667
1305	21922	11649
1306	21935	11630
1307	21950	11613
1308	21965	11595
1309	21980	11577
1310	21994	11559
1311	22008	11540
1312	22022	11522
1313	22036	11504
1314	22050	11486
1315	22065	11468
1316	22079	11450
1317	22093	11432
1318	22108	11414
1319	22122	11396
1320	22136	11378
1321	22150	11360
1322	22164	11341
1323	22177	11323
1324	22192	11305
1325	22206	11287
1326	22220	11269
1327	22234	11251
1328	22248	11233
1329	22262	11214
1330	22275	11196
1331	22289	11178
1332	22303	11160
1333	22318	11142
1334	22331	11124
1335	22344	11105
1336	22358	11087
1337	22372	11069
1338	22385	11050
1339	22399	11032
1340	22413	11014
1341	22428	10997
1342	22443	10979
1343	22456	10961
1344	22472	10943
1345	22487	10926
1346	22501	10908
1347	22515	10890
1348	22529	10872
1349	22543	10854
1350	22557	10836
1351	22571	10818
1352	22585	10800
1353	22599	10782
1354	22613	10764
1355	22628	10746
1356	22643	10729
1357	22656	10711
1358	22683	10699
1359	22698	10681
1360	22712	10663
1361	22726	10645
1362	22741	10628
1363	22755	10610
1364	22770	10592
1365	22782	10574
1366	22796	10556
1367	22811	10538
1368	22825	10520
1369	22839	10502
1370	22852	10484
1371	22866	10466
1372	22880	10448
1373	22894	10430
1374	22907	10412
1375	22921	10394
1376	22935	10376
1377	22949	10358
1378	22964	10341
1379	22979	10324
1380	22994	10306
1381	23008	10289
1382	23022	10271
1383	23036	10253
1384	23049	10234
1385	23063	10217
1386	23078	10199
1387	23092	10182
1388	23107	10164
1389	23121	10146
1390	23135	10129
1391	23149	10111
1392	23163	10093
1393	23177	10075
1394	23192	10058
1395	23206	10040
1396	23220	10022
1397	23234	10005
1398	23248	9987
1399	23262	9969
1400	23276	9951
1401	23290	9934
1402	23303	9916
1403	23318	9898
1404	23333	9881
1405	23347	9863
1406	23361	9845
1407	23375	9828
1408	23389	9810
1409	23403	9792
1410	23417	9775
1411	23433	9758
1412	23447	9740
1413	23461	9722
1414	23474	9705
1415	23489	9687
1416	23503	9670
1417	23517	9652
1418	23532	9635
1419	23546	9617
1420	23561	9600
1421	23575	9582
1422	23589	9564
1423	23604	9547
1424	23617	9529
1425	23631	9512
1426	23645	9494
1427	23658	9476
1428	23672	9459
1429	23687	9441
1430	23700	9423
1431	23715	9406
1432	23729	9389
1433	23742	9371
1434	23756	9353
1435	23770	9336
1436	23784	9318
1437	23799	9301
1438	23813	9283
1439	23828	9266
1440	23841	9248
1441	23870	9236
1442	23883	9219
1443	23897	9201
1444	23911	9183
1445	23925	9166
1446	23939	9149
1447	23955	9132
1448	23968	9114
1449	23983	9097
1450	23997	9079
1451	24011	9062
1452	24025	9044
1453	24038	9027
1454	24052	9009
1455	24065	8991
1456	24078	8973
1457	24093	8956
1458	24107	8939
1459	24121	8921
1460	24135	8904
1461	24149	8886
1462	24163	8869
1463	24176	8851
1464	24200	8837
1465	24214	8820
1466	24228	8803
1467	24242	8785
1468	24256	8768
1469	24269	8750
1470	24283	8732
1471	24298	8715
1472	24312	8698
1473	24326	8680
1474	24339	8663
1475	24352	8645
1476	24367	8628
1477	24381	8611
1478	24395	8593
1479	24409	8576
1480	24423	8558
1481	24438	8541
1482	24451	8524
1483	24464	8506
1484	24479	8489
1485	24495	8472
1486	24509	8455
1487	24524	8438
1488	24543	8423
1489	24574	8411
1490	24588	8394
1491	24602	8376
1492	24615	8359
1493	24630	8342
1494	24660	8329
1495	24674	8312
1496	24688	8295
1497	24702	8278
1498	24716	8260
1499	24730	8243
1500	24744	8226
1501	24758	8208
1502	24773	8191
1503	24787	8174
1504	24802	8157
1505	24816	8140
1506	24829	8122
1507	24843	8105
1508	24856	8087
1509	24871	8070
1510	24884	8053
1511	24899	8036
1512	24913	8018
1513	24926	8001
1514	24942	7984
1515	24957	7967
1516	24971	7950
1517	24987	7933
1518	25013	7920
1519	25026	7903
1520	25041	7886
1521	25055	7869
1522	25071	7852
1523	25086	7835
1524	25100	7818
1525	25114	7801
1526	25128	7783
1527	25143	7766
1528	25157	7749
1529	25172	7732
1530	25186	7715
1531	25201	7698
1532	25215	7681
1533	25230	7664
1534	25244	7647
1535	25258	7630
1536	25272	7612
1537	25287	7596
1538	25301	7578
1539	25316	7562
1540	25330	7544
1541	25344	7527
1542	25358	7510
1543	25372	7493
1544	25387	7476
1545	25401	7459
1546	25415	7442
1547	25429	7425
1548	25445	7408
1549	25459	7391
1550	25474	7374
1551	25488	7357
1552	25502	7340
1553	25516	7323
1554	25531	7306
1555	25545	7289
1556	25558	7271
1557	25571	7254
1558	25586	7237
1559	25601	7220
1560	25615	7203
1561	25629	7186
1562	25643	7169
1563	25657	7152
1564	25671	7135
1565	25686	7118
1566	25701	7101
1567	25716	7085
1568	25730	7068
1569	25747	7051
1570	25761	7034
1571	25776	7018
1572	25790	7001
1573	25805	6984
1574	25820	6967
1575	25836	6950
1576	25850	6933
1577	25864	6916
1578	25879	6900
1579	25893	6883
1580	25908	6866
1581	25923	6849
1582	25938	6832
1583	25952	6815
1584	25967	6798
1585	25982	6782
1586	25996	6765
1587	26011	6748
1588	26025	6731
1589	26049	6717
1590	26064	6700
1591	26078	6683
1592	26093	6666
1593	26108	6649
1594	26123	6633
1595	26137	6616
1596	26150	6599
1597	26165	6582
1598	26180	6565
1599	26194	6548
1600	26209	6531
1601	26223	6514
1602	26237	6497
1603	26250	6480
1604	26264	6463
1605	26279	6447
1606	26294	6430
1607	26309	6413
1608	26323	6396
1609	26337	6379
1610	26350	6362
1611	26365	6345
1612	26379	6329
1613	26393	6312
1614	26408	6295
1615	26422	6278
1616	26436	6261
1617	26451	6245
1618	26465	6228
1619	26479	6211
1620	26493	6194
1621	26507	6177
1622	26520	6160
1623	26534	6143
1624	26549	6126
1625	26562	6109
1626	26576	6092
1627	26590	6075
1628	26603	6058
1629	26618	6042
1630	26631	6025
1631	26644	6008
1632	26659	5991
1633	26673	5974
1634	26688	5958
1635	26702	5941
1636	26717	5924
1637	26730	5907
1638	26744	5890
1639	26759	5873
1640	26773	5857
1641	26787	5840
1642	26802	5823
1643	26816	5806
1644	26831	5790
1645	26844	5773
1646	26859	5756
1647	26873	5740
1648	26887	5723
1649	26901	5706
1650	26915	5689
1651	26929	5672
1652	26942	5655
1653	26957	5639
1654	26971	5622
1655	26985	5605
1656	26999	5588
1657	27012	5572
1658	27027	5555
1659	27040	5538
1660	27054	5521
1661	27069	5505
1662	27083	5488
1663	27098	5471
1664	27113	5455
1665	27128	5438
